dom/id	arquivo	origem	url
bio/aa1	iupac-iub-aa-table1.html	autoridade	https://iupac.qmul.ac.uk/AminoAcid/AA1n2.html
bio/aa3	iupac-iub-aa-table1.html	autoridade	https://iupac.qmul.ac.uk/AminoAcid/AA1n2.html
bio/cdn	ncbi-genetic-codes.prt	oficial	https://ftp.ncbi.nlm.nih.gov/entrez/misc/data/gc.prt
bio/ec	enzyme.dat	3ch.lua(teu)	https://ftp.expasy.org/databases/enzyme/enzyme.dat
bio/gen	hgnc_complete_set.json	oficial	https://storage.googleapis.com/public-download-files/hgnc/json/json/hgnc_complete_set.json
bio/pdb	pdb-entry-ids.json	3ch.lua(teu)	https://data.rcsb.org/rest/v1/holdings/current/entry_ids
cls/atc	atc.csv	oficial	https://raw.githubusercontent.com/fabkury/atcd/master/WHO%20ATC-DDD%202021-12-03.csv
cls/bsc	bisac.csv	3ch.lua(teu)	https://gist.githubusercontent.com/jveldboom/6542197/raw/0f310e70fe0395ad6ab8b3891f8aafdb840de7d0/bisac.csv
cls/dew	deweysummaries.pdf	3ch.lua(teu)	https://www.oclc.org/content/dam/oclc/dewey/resources/summaries/deweysummaries.pdf
cls/elm	pubchem-periodic-table.csv	oficial	https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/CSV
cls/icd	icd10cm-order-2027.txt	autoridade	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2027/icd10cm-code-descriptions-2027.zip
cls/loc	lc_class.txt	3ch.lua(teu)	https://raw.githubusercontent.com/edsu/lcco/master/lc_class.txt
cmp/asm	x86.csv	oficial	https://raw.githubusercontent.com/GregoryComer/x86-csv/master/x86.csv
cmp/css	functions.json	3ch.lua(teu)	https://raw.githubusercontent.com/mdn/data/main/css/functions.json
cmp/dns	dns-parameters-4.csv	oficial	https://www.iana.org/assignments/dns-parameters/dns-parameters-4.csv
cmp/ern	opengroup-errno-h.html	autoridade	https://pubs.opengroup.org/onlinepubs/9799919799/basedefs/errno.h.html
cmp/ext	extensions.json	3ch.lua(teu)	https://raw.githubusercontent.com/dyne/file-extension-list/master/pub/extensions.json
cmp/frc	fourcc_list.h	oficial	https://raw.githubusercontent.com/videolan/vlc/master/src/misc/fourcc_list.h
cmp/git	command-list.txt	oficial	https://raw.githubusercontent.com/git/git/master/command-list.txt
cmp/hex	css-color-names.json	3ch.lua(teu)	https://raw.githubusercontent.com/bahamas10/css-color-names/master/css-color-names.json
cmp/htt	methods.csv	3ch.lua(teu)	https://www.iana.org/assignments/http-methods/methods.csv
cmp/mim	media-types.xml	3ch.lua(teu)	https://www.iana.org/assignments/media-types/media-types.xml
cmp/reg	X86RegisterInfo.td	autoridade	https://raw.githubusercontent.com/llvm/llvm-project/main/llvm/lib/Target/X86/X86RegisterInfo.td
cmp/sts	http-status-codes-1.csv	3ch.lua(teu)	https://www.iana.org/assignments/http-status-codes/http-status-codes-1.csv
cmp/vim	motion.txt	3ch.lua(teu)	https://raw.githubusercontent.com/vim/vim/master/runtime/doc/motion.txt
com/bau	T-REC-S.1.pdf	autoridade	https://www.itu.int/rec/T-REC-S.1-199303-I/en
com/mor	R-REC-M.1677-1.pdf	autoridade	https://www.itu.int/dms_pubrec/itu-r/rec/m/R-REC-M.1677-1-200910-I!!PDF-E.pdf
com/tlg	abcuniversalco00clau_djvu.xml	oficial	https://archive.org/download/abcuniversalco00clau/abcuniversalco00clau_djvu.xml
fin/cfi	cfi-iso10962.xlsx	oficial	https://www.six-group.com/dam/download/financial-information/data-center/cfi/cfi-20210507-current.xlsx
fin/cus	cik-cusip-maps.csv	3ch.lua(teu)	https://raw.githubusercontent.com/leoliu0/cik-cusip-mapping/master/cik-cusip-maps.csv
fin/i42	iso4217-list-one.xml	oficial	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-one.xml
fin/mic	ISO10383_MIC.xlsx	3ch.lua(teu)	https://www.iso20022.org/sites/default/files/ISO10383_MIC/ISO10383_MIC.xlsx
fin/tck	company_tickers.json	3ch.lua(teu)	https://www.sec.gov/files/company_tickers.json
grf/act	activitystreams.jsonld	oficial	https://www.w3.org/ns/activitystreams.jsonld
grf/foa	index.rdf	3ch.lua(teu)	http://xmlns.com/foaf/spec/index.rdf
grf/gql	Cypher.g4	3ch.lua(teu)	https://raw.githubusercontent.com/cloudprivacylabs/opencypher/main/Cypher.g4
grf/lpg	property-graph-2211.10962.pdf	3ch.lua(teu)	https://arxiv.org/pdf/2211.10962
grf/oid	openid-configuration.json	3ch.lua(teu)	https://accounts.google.com/.well-known/openid-configuration
grf/org	org.ttl	3ch.lua(teu)	https://www.w3.org/ns/org.ttl
grf/rdf	rdf-schema.ttl	oficial	https://www.w3.org/2000/01/rdf-schema.ttl
grf/sch	schemaorg-current-https.jsonld	oficial	https://schema.org/version/latest/schemaorg-current-https.jsonld
grf/shc	shacl.ttl	oficial	https://www.w3.org/ns/shacl.ttl
grf/sio	sioc-ns.rdf	autoridade	http://rdfs.org/sioc/ns#
grf/vcd	ns.ttl	3ch.lua(teu)	https://www.w3.org/2006/vcard/ns.ttl
lng/b47	language-subtag-registry.txt	3ch.lua(teu)	https://www.iana.org/assignments/language-subtag-registry
lng/glt	languages.csv	oficial	https://raw.githubusercontent.com/glottolog/glottolog-cldf/master/cldf/languages.csv
lng/i15	iso15924.txt	3ch.lua(teu)	https://www.unicode.org/iso15924/iso15924.txt
lng/i31	all.csv	3ch.lua(teu)	https://raw.githubusercontent.com/lukes/ISO-3166-Countries-with-Regional-Codes/master/all/all.csv
lng/i39	language-codes.csv	oficial	https://raw.githubusercontent.com/datasets/language-codes/master/data/language-codes.csv
lng/i63	language-subtag-registry.txt	derivado(b47)	https://www.iana.org/assignments/language-subtag-registry
lng/ioc	country-codes.csv	3ch.lua(teu)	https://raw.githubusercontent.com/datasets/country-codes/master/data/country-codes.csv
lng/mdy	cldr-ca-gregorian.json	autoridade	https://raw.githubusercontent.com/unicode-org/cldr-json/main/cldr-json/cldr-dates-full/main/en/ca-gregorian.json
nte/wnt	english-wordnet-2024.xml.gz	oficial	https://en-word.net/static/english-wordnet-2024.xml.gz
trp/iata	airports.csv	3ch.lua(teu)	https://davidmegginson.github.io/ourairports-data/airports.csv
