system_id	domain	name	authority	url	license	license_status	code_pattern	pattern_status	case_sensitive	raw_file	derived_from	version	retrieved_at	notes
bio/aa1	bio	amino acid 1-letter codes	IUPAC-IUB JCBN	https://iupac.qmul.ac.uk/AminoAcid/AA1n2.html	iupac-recommendations	ok	^[A-Z]$	derived	true	data/bio/aa1/raw/iupac-iub-aa-table1.html			2026-09-10	same IUPAC JCBN Table 1 as bio/aa3, read on the one-letter symbol column
bio/aa3	bio	amino acid 3-letter codes	IUPAC-IUB JCBN	https://iupac.qmul.ac.uk/AminoAcid/AA1n2.html	iupac-recommendations	ok	^[A-Z][a-z]{2}$	derived	true	data/bio/aa3/raw/iupac-iub-aa-table1.html			2026-09-10	
bio/cdn	bio	NCBI genetic codes (codons)	NCBI	https://ftp.ncbi.nlm.nih.gov/entrez/misc/data/gc.prt	public-domain-usgov	ok	^[ACGTU]{3}$	derived	true	data/bio/cdn/raw/ncbi-genetic-codes.prt			2026-09-10	
bio/ec	bio	enzyme commission numbers	IUBMB / ExPASy	https://ftp.expasy.org/databases/enzyme/enzyme.dat	CC-BY-4.0	ok	^\d+\.\d+\.\d+\.(n?\d+|-)$	derived	false	data/bio/ec/raw/enzyme.dat			2026-09-10	
bio/gen	bio	HGNC gene symbols	HUGO Gene Nomenclature Committee	https://storage.googleapis.com/public-download-files/hgnc/json/json/hgnc_complete_set.json	CC0-1.0	ok	^[A-Za-z0-9@#\-\._]+$	derived	true	data/bio/gen/raw/hgnc_complete_set.json			2026-09-10	
bio/pdb	bio	PDB entry IDs	wwPDB / RCSB	https://data.rcsb.org/rest/v1/holdings/current/entry_ids	CC0-1.0	ok	^[0-9][A-Za-z0-9]{3}$	provisional	false	data/bio/pdb/raw/pdb-entry-ids.json			2026-09-10	entry IDs are four characters starting with a digit 1 to 9, uppercase. the four character space is nearly exhausted, and the wwPDB has an extended pdb_00001abc form waiting for it.
cls/atc	cls	WHO ATC drug classification	WHO Collaborating Centre for Drug Statistics Methodology	https://raw.githubusercontent.com/fabkury/atcd/master/WHO%20ATC-DDD%202021-12-03.csv	proprietary	problem	^[A-V](\d{2}([A-Z]([A-Z](\d{2})?)?)?)?$	derived	true	data/cls/atc/raw/atc.csv			2026-09-10	
cls/bsc	cls	BISAC subject headings	Book Industry Study Group	https://gist.githubusercontent.com/jveldboom/6542197/raw/0f310e70fe0395ad6ab8b3891f8aafdb840de7d0/bisac.csv	proprietary	problem	^[A-Z]{3}\d{6}$	derived	true	data/cls/bsc/raw/bisac.csv			2026-09-10	
cls/dew	cls	Dewey decimal summaries	OCLC	https://www.oclc.org/content/dam/oclc/dewey/resources/summaries/deweysummaries.pdf	proprietary	problem	^\d{3}$	derived	false	data/cls/dew/raw/deweysummaries.pdf			2026-09-10	
cls/elm	cls	chemical element symbols	IUPAC	https://pubchem.ncbi.nlm.nih.gov/rest/pug/periodictable/CSV	public-domain-usgov	ok	^[A-Z][a-z]{0,2}$	derived	true	data/cls/elm/raw/pubchem-periodic-table.csv			2026-09-10	
cls/icd	cls	ICD-10-CM	US CDC / NCHS	https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2027/icd10cm-code-descriptions-2027.zip	public-domain-usgov	ok	^[A-Z][A-Z0-9]{2,6}$	derived	true	data/cls/icd/raw/icd10cm-order-2027.txt			2026-09-10	the FY2027 order file straight from the CDC. the previous source was an instruction-tuning dataset with ICD codes embedded in question and answer text, which is training data about the codes, not the code list.
cls/loc	cls	Library of Congress classification outline	Library of Congress	https://raw.githubusercontent.com/edsu/lcco/master/lc_class.txt	CC0-1.0	ok	^[A-Z]{1,3}$	derived	true	data/cls/loc/raw/lc_class.txt			2026-09-10	
cmp/asm	cmp	x86 instruction mnemonics	Intel / AMD	https://raw.githubusercontent.com/GregoryComer/x86-csv/master/x86.csv	MIT	ok	^[A-Z][A-Za-z0-9]{1,15}$	provisional	false	data/cmp/asm/raw/x86.csv			2026-09-10	
cmp/css	cmp	CSS functions	W3C CSSWG / MDN	https://raw.githubusercontent.com/mdn/data/main/css/functions.json	CC0-1.0	ok	^[a-zA-Z][a-zA-Z0-9\-]*$	derived	false	data/cmp/css/raw/functions.json			2026-09-10	
cmp/dns	cmp	DNS resource record types	IANA	https://www.iana.org/assignments/dns-parameters/dns-parameters-4.csv	iana-registry	ok	^([A-Z][A-Z0-9\-]*|\*)$	derived	true	data/cmp/dns/raw/dns-parameters-4.csv			2026-09-10	
cmp/ern	cmp	POSIX errno names	IEEE / The Open Group	https://pubs.opengroup.org/onlinepubs/9799919799/basedefs/errno.h.html	posix-spec	ok	^E[A-Z0-9]+$	derived	true	data/cmp/ern/raw/opengroup-errno-h.html			2026-09-10	
cmp/ext	cmp	file extensions	community	https://raw.githubusercontent.com/dyne/file-extension-list/master/pub/extensions.json	Unlicense	ok	^[a-z0-9][a-z0-9.+\-]*$	derived	false	data/cmp/ext/raw/extensions.json			2026-09-10	
